pos,param,trainMSE,valMSE
"(10.5, 76.5)","((2, 1, 1), (2, 0, 2, 12))",12.935,33.141
"(10.5, 77.5)","((2, 1, 1), (0, 0, 1, 12))",8.049,8.332
"(10.5, 78.5)","((1, 1, 2), (2, 0, 1, 12))",8.305,5.648
"(10.5, 79.5)","((2, 1, 1), (1, 0, 1, 12))",16.336,18.629
"(11.5, 75.5)","((1, 0, 0), (2, 0, 1, 12))",38.281,100.936
"(11.5, 76.5)","((0, 1, 4), (3, 0, 0, 12))",10.092,14.189
"(11.5, 77.5)","((1, 0, 0), (1, 0, 1, 12))",3.285,3.85
"(11.5, 78.5)","((1, 0, 0), (4, 0, 0, 12))",4.35,4.528
"(11.5, 79.5)","((4, 1, 1), (2, 0, 2, 12))",17.375,26.978
"(12.5, 75.5)","((0, 0, 0), (1, 0, 1, 12))",47.077,123.213
"(12.5, 76.5)","((0, 0, 0), (1, 0, 1, 12))",6.424,4.45
"(12.5, 77.5)","((1, 0, 0), (1, 0, 1, 12))",4.941,6.991
"(12.5, 78.5)","((1, 0, 1), (1, 0, 1, 12))",2.936,5.946
"(12.5, 79.5)","((5, 1, 1), (1, 0, 2, 12))",7.085,9.268
"(13.5, 74.5)","((4, 1, 1), (1, 0, 1, 12))",48.531,128.645
"(13.5, 75.5)","((2, 1, 1), (1, 0, 2, 12))",11.771,24.594
"(13.5, 76.5)","((4, 1, 1), (5, 0, 0, 12))",2.642,5.415
"(13.5, 77.5)","((1, 0, 0), (2, 0, 1, 12))",4.098,4.58
"(13.5, 78.5)","((0, 0, 1), (1, 0, 1, 12))",3.108,6.512
"(13.5, 79.5)","((1, 0, 0), (2, 0, 1, 12))",5.107,13.603
"(14.5, 74.5)","((2, 1, 0), (1, 0, 0, 12))",206.793,305.674
"(14.5, 75.5)","((0, 0, 0), (1, 0, 1, 12))",3.294,4.725
"(14.5, 76.5)","((0, 0, 0), (1, 0, 1, 12))",2.126,2.427
"(14.5, 77.5)","((1, 0, 0), (2, 0, 0, 12))",3.652,4.986
"(14.5, 78.5)","((0, 0, 0), (2, 0, 1, 12))",4.32,3.751
"(14.5, 79.5)","((0, 0, 0), (3, 0, 1, 12))",7.493,19.303
"(15.5, 74.5)","((4, 1, 1), (1, 0, 1, 12))",12.177,62.955
"(15.5, 75.5)","((3, 1, 0), (4, 0, 0, 12))",3.345,4.475
"(15.5, 76.5)","((0, 0, 1), (0, 0, 2, 12))",2.786,6.504
"(15.5, 77.5)","((0, 0, 0), (4, 0, 0, 12))",4.483,2.122
"(15.5, 78.5)","((0, 0, 0), (3, 0, 0, 12))",9.259,3.495
"(15.5, 79.5)","((4, 1, 1), (1, 0, 1, 12))",5.879,3.761
"(16.5, 73.5)","((1, 0, 0), (1, 0, 1, 12))",61.906,187.462
"(16.5, 74.5)","((1, 1, 1), (3, 0, 1, 12))",1.861,4.715
"(16.5, 75.5)","((1, 0, 0), (3, 0, 0, 12))",2.435,2.207
"(16.5, 76.5)","((1, 0, 0), (3, 0, 0, 12))",2.221,4.014
"(16.5, 77.5)","((1, 0, 0), (2, 0, 0, 12))",3.088,3.199
"(16.5, 78.5)","((1, 0, 0), (2, 0, 0, 12))",4.574,2.137
"(16.5, 79.5)","((3, 0, 1), (2, 0, 0, 12))",4.29,6.515
"(16.5, 80.5)","((0, 0, 0), (4, 0, 1, 12))",6.265,4.056
"(16.5, 81.5)","((1, 0, 1), (4, 0, 1, 12))",9.169,5.265
"(17.5, 73.5)","((4, 1, 1), (3, 0, 1, 12))",43.462,178.793
"(17.5, 74.5)","((1, 1, 1), (4, 0, 0, 12))",2.923,4.198
"(17.5, 75.5)","((0, 0, 0), (3, 0, 0, 12))",2.74,4.028
"(17.5, 76.5)","((0, 0, 0), (1, 0, 1, 12))",2.654,4.486
"(17.5, 77.5)","((1, 0, 0), (3, 0, 0, 12))",4.648,5.884
"(17.5, 78.5)","((0, 0, 0), (2, 0, 0, 12))",4.891,5.135
"(17.5, 79.5)","((2, 0, 0), (1, 0, 1, 12))",5.158,5.108
"(17.5, 80.5)","((3, 0, 0), (5, 0, 1, 12))",9.303,9.311
"(17.5, 81.5)","((1, 0, 0), (4, 0, 0, 12))",9.972,7.845
"(17.5, 82.5)","((0, 0, 1), (3, 0, 0, 12))",8.471,5.023
"(18.5, 73.5)","((1, 1, 2), (1, 0, 1, 12))",65.667,107.984
"(18.5, 74.5)","((1, 1, 1), (1, 0, 1, 12))",3.088,2.883
"(18.5, 75.5)","((1, 0, 0), (3, 0, 0, 12))",3.279,7.775
"(18.5, 76.5)","((1, 0, 1), (1, 0, 1, 12))",5.384,7.335
"(18.5, 77.5)","((0, 0, 0), (1, 0, 1, 12))",6.173,10.362
"(18.5, 78.5)","((0, 0, 0), (1, 0, 1, 12))",4.091,10.975
"(18.5, 79.5)","((2, 0, 0), (3, 0, 2, 12))",8.63,8.106
"(18.5, 80.5)","((2, 0, 0), (2, 0, 1, 12))",17.819,17.367
"(18.5, 81.5)","((1, 0, 0), (3, 0, 0, 12))",16.938,30.447
"(18.5, 82.5)","((3, 1, 0), (3, 0, 0, 12))",18.516,15.219
"(18.5, 83.5)","((0, 1, 2), (1, 0, 1, 12))",5.653,7.411
"(19.5, 73.5)","((5, 1, 0), (1, 0, 3, 12))",43.798,120.402
"(19.5, 74.5)","((1, 0, 0), (2, 0, 0, 12))",2.885,3.539
"(19.5, 75.5)","((1, 0, 0), (1, 0, 0, 12))",3.154,5.158
"(19.5, 76.5)","((3, 1, 0), (3, 0, 0, 12))",9.611,5.618
"(19.5, 77.5)","((0, 0, 0), (1, 0, 0, 12))",8.6,16.345
"(19.5, 78.5)","((0, 0, 0), (1, 0, 1, 12))",7.581,12.702
"(19.5, 79.5)","((1, 0, 0), (3, 0, 1, 12))",9.33,23.135
"(19.5, 80.5)","((1, 0, 0), (1, 0, 2, 12))",14.399,19.476
"(19.5, 81.5)","((1, 0, 0), (5, 0, 1, 12))",7.033,11.48
"(19.5, 82.5)","((0, 0, 1), (5, 0, 0, 12))",20.774,26.196
"(19.5, 83.5)","((0, 0, 0), (2, 0, 0, 12))",10.902,12.083
"(19.5, 84.5)","((0, 0, 0), (3, 0, 0, 12))",10.652,7.018
"(20.5, 73.5)","((5, 1, 1), (2, 0, 1, 12))",29.864,60.121
"(20.5, 74.5)","((0, 0, 0), (1, 0, 1, 12))",3.208,3.133
"(20.5, 75.5)","((0, 0, 0), (1, 0, 1, 12))",2.884,5.033
"(20.5, 76.5)","((0, 0, 0), (1, 0, 1, 12))",4.317,6.265
"(20.5, 77.5)","((3, 0, 0), (2, 0, 0, 12))",5.872,7.453
"(20.5, 78.5)","((1, 0, 0), (3, 0, 1, 12))",8.08,16.106
"(20.5, 79.5)","((1, 0, 0), (3, 0, 1, 12))",9.068,18.951
"(20.5, 80.5)","((0, 0, 0), (2, 0, 1, 12))",11.25,18.395
"(20.5, 81.5)","((1, 0, 0), (1, 0, 1, 12))",9.655,12.241
"(20.5, 82.5)","((0, 0, 0), (3, 0, 1, 12))",14.912,17.454
"(20.5, 83.5)","((0, 0, 1), (5, 0, 0, 12))",9.203,23.894
"(20.5, 84.5)","((0, 0, 0), (2, 0, 0, 12))",12.111,10.964
"(20.5, 85.5)","((1, 0, 0), (3, 0, 1, 12))",14.31,11.673
"(20.5, 86.5)","((0, 0, 1), (5, 0, 1, 12))",13.947,12.014
"(21.5, 69.5)","((5, 1, 0), (3, 0, 0, 12))",16.58,12.815
"(21.5, 70.5)","((2, 0, 1), (0, 0, 1, 12))",17.181,26.807
"(21.5, 71.5)","((1, 0, 0), (3, 0, 0, 12))",9.245,5.482
"(21.5, 72.5)","((5, 1, 1), (1, 0, 2, 12))",10.397,15.89
"(21.5, 73.5)","((2, 1, 1), (1, 0, 1, 12))",15.14,30.994
"(21.5, 74.5)","((1, 0, 0), (1, 0, 1, 12))",3.873,7.764
"(21.5, 75.5)","((0, 0, 1), (1, 0, 1, 12))",4.929,6.504
"(21.5, 76.5)","((3, 1, 1), (1, 0, 2, 12))",5.637,15.077
"(21.5, 77.5)","((0, 0, 0), (1, 0, 2, 12))",5.891,14.89
"(21.5, 78.5)","((2, 0, 0), (4, 0, 1, 12))",5.017,12.184
"(21.5, 79.5)","((2, 0, 0), (1, 0, 0, 12))",11.884,12.787
"(21.5, 80.5)","((5, 1, 1), (3, 0, 1, 12))",20.671,12.559
"(21.5, 81.5)","((1, 0, 0), (1, 0, 0, 12))",10.798,19.231
"(21.5, 82.5)","((0, 0, 1), (5, 0, 0, 12))",6.548,10.6
"(21.5, 83.5)","((1, 0, 0), (4, 0, 2, 12))",11.089,27.335
"(21.5, 84.5)","((0, 0, 1), (3, 0, 1, 12))",16.687,11.253
"(21.5, 85.5)","((1, 0, 1), (1, 0, 1, 12))",8.361,8.107
"(21.5, 86.5)","((0, 0, 0), (3, 0, 0, 12))",19.475,9.98
"(22.5, 69.5)","((0, 0, 1), (1, 0, 1, 12))",9.961,7.733
"(22.5, 70.5)","((0, 0, 0), (1, 0, 1, 12))",7.513,7.754
"(22.5, 71.5)","((0, 0, 1), (1, 0, 1, 12))",7.511,8.049
"(22.5, 72.5)","((4, 1, 1), (1, 0, 3, 12))",6.746,12.538
"(22.5, 73.5)","((0, 1, 2), (2, 0, 1, 12))",8.266,14.98
"(22.5, 74.5)","((0, 0, 0), (1, 0, 1, 12))",6.123,6.617
"(22.5, 75.5)","((0, 0, 0), (1, 0, 1, 12))",7.343,10.426
"(22.5, 76.5)","((1, 0, 0), (1, 0, 1, 12))",7.809,17.509
"(22.5, 77.5)","((1, 0, 0), (2, 0, 1, 12))",10.295,21.335
"(22.5, 78.5)","((0, 0, 0), (1, 0, 0, 12))",25.288,42.596
"(22.5, 79.5)","((1, 0, 0), (1, 0, 0, 12))",11.715,19.945
"(22.5, 80.5)","((1, 0, 1), (4, 0, 1, 12))",7.116,18.74
"(22.5, 81.5)","((1, 0, 0), (1, 0, 0, 12))",9.12,17.681
"(22.5, 82.5)","((0, 0, 0), (4, 0, 1, 12))",9.616,16.821
"(22.5, 83.5)","((0, 0, 1), (3, 0, 1, 12))",8.995,12.877
"(22.5, 84.5)","((0, 0, 1), (3, 0, 0, 12))",11.184,9.51
"(22.5, 85.5)","((1, 0, 0), (5, 0, 1, 12))",9.125,4.769
"(22.5, 86.5)","((0, 0, 0), (2, 0, 0, 12))",14.54,7.367
"(22.5, 87.5)","((0, 0, 0), (4, 0, 1, 12))",13.04,12.384
"(22.5, 88.5)","((2, 0, 0), (2, 0, 0, 12))",7.465,17.342
"(22.5, 92.5)","((1, 0, 0), (4, 0, 0, 12))",33.865,67.093
"(23.5, 68.5)","((0, 0, 1), (3, 0, 0, 12))",5.63,5.266
"(23.5, 69.5)","((2, 0, 0), (4, 0, 1, 12))",6.144,5.519
"(23.5, 70.5)","((0, 0, 0), (3, 0, 1, 12))",5.655,8.179
"(23.5, 71.5)","((0, 0, 1), (1, 0, 2, 12))",6.258,10.053
"(23.5, 72.5)","((3, 1, 1), (2, 0, 1, 12))",8.068,12.902
"(23.5, 73.5)","((1, 0, 0), (2, 0, 1, 12))",7.885,12.474
"(23.5, 74.5)","((1, 0, 0), (3, 0, 1, 12))",11.356,24.442
"(23.5, 75.5)","((0, 0, 1), (1, 0, 1, 12))",7.084,20.426
"(23.5, 76.5)","((1, 0, 0), (2, 0, 0, 12))",8.166,21.274
"(23.5, 77.5)","((0, 0, 0), (1, 0, 0, 12))",13.054,29.026
"(23.5, 78.5)","((0, 0, 1), (5, 0, 0, 12))",12.728,27.007
"(23.5, 79.5)","((0, 0, 0), (4, 0, 1, 12))",12.894,19.859
"(23.5, 80.5)","((0, 0, 1), (3, 0, 0, 12))",8.241,19.07
"(23.5, 81.5)","((0, 0, 0), (2, 0, 0, 12))",13.528,18.162
"(23.5, 82.5)","((0, 0, 1), (5, 0, 0, 12))",8.993,11.019
"(23.5, 83.5)","((1, 0, 0), (2, 0, 0, 12))",8.332,15.043
"(23.5, 84.5)","((2, 0, 0), (3, 0, 1, 12))",7.432,9.833
"(23.5, 85.5)","((1, 0, 0), (3, 0, 0, 12))",5.219,8.652
"(23.5, 86.5)","((0, 0, 0), (1, 0, 1, 12))",10.21,10.98
"(23.5, 87.5)","((4, 1, 0), (2, 0, 0, 12))",10.684,22.554
"(23.5, 88.5)","((2, 0, 0), (2, 0, 1, 12))",9.89,9.263
"(23.5, 91.5)","((0, 0, 0), (1, 0, 0, 12))",22.632,36.907
"(23.5, 92.5)","((1, 1, 0), (3, 0, 0, 12))",23.096,49.568
"(24.5, 69.5)","((0, 0, 1), (1, 0, 1, 12))",7.873,3.493
"(24.5, 70.5)","((2, 0, 0), (4, 0, 1, 12))",5.654,8.267
"(24.5, 71.5)","((0, 0, 1), (1, 0, 5, 12))",4.925,12.556
"(24.5, 72.5)","((0, 0, 1), (2, 0, 1, 12))",11.611,35.225
"(24.5, 73.5)","((4, 1, 1), (2, 0, 1, 12))",4.225,8.749
"(24.5, 74.5)","((0, 0, 0), (3, 0, 3, 12))",5.457,19.332
"(24.5, 75.5)","((2, 1, 0), (2, 0, 0, 12))",13.231,27.63
"(24.5, 76.5)","((0, 0, 0), (2, 0, 0, 12))",14.58,29.151
"(24.5, 77.5)","((0, 0, 0), (2, 0, 0, 12))",12.234,22.198
"(24.5, 78.5)","((1, 0, 1), (3, 0, 0, 12))",12.561,18.631
"(24.5, 79.5)","((0, 0, 0), (3, 0, 1, 12))",10.368,18.885
"(24.5, 80.5)","((0, 0, 1), (4, 0, 0, 12))",10.91,15.995
"(24.5, 81.5)","((1, 1, 0), (3, 0, 0, 12))",19.899,16.837
"(24.5, 82.5)","((0, 0, 0), (2, 0, 0, 12))",10.985,13.259
"(24.5, 83.5)","((4, 1, 1), (1, 0, 2, 12))",3.884,7.205
